spot_id,spot_name,state,region,county_or_area,geocode_query,beach_orientation_deg,notes,preferred_ndbc_station,preferred_coops_station,geocode_query_original
850fcd30,Leo Carrillo (County line),CA,Southern California,Ventura,"Leo Carrillo State Beach, Malibu, CA",,Reef points + beachbreak; variety.,,,"Leo Carrillo State Beach surf, Malibu, CA"
56d73c2e,Malibu Surfrider (First Point),CA,Southern California,Los Angeles,"Surfrider Beach, Malibu, CA",,Iconic long right; best on W/NW; crowds.,,,"Surfrider Beach surf, Malibu, CA"
49004fb7,Malibu Second Point,CA,Southern California,Los Angeles,"Malibu Second Point, Malibu, CA",,Longboard/point; better on medium swell.,,,"Malibu Second Point surf, Malibu, CA"
3659484b,Malibu Third Point,CA,Southern California,Los Angeles,"Malibu Third Point, Malibu, CA",,Fast sections; better at mid tide.,,,"Malibu Third Point surf, Malibu, CA"
a7f452cc,Zuma Beach,CA,Southern California,Los Angeles,"Zuma Beach, Malibu, CA",,Consistent beachbreak; handles swell.,,,"Zuma Beach surf, Malibu, CA"
3c666332,Topanga,CA,Southern California,Los Angeles,"Topanga State Beach, Topanga, CA",,Point/reef; works W/NW; can be soft.,,,"Topanga State Beach surf, Topanga, CA"
40ffead4,Sunset Point,CA,Southern California,Los Angeles,"Sunset Point, Pacific Palisades, CA",,Reef; best at mid tide; rocks.,,,"Sunset Point surf, Pacific Palisades, CA"
46656078,Santa Monica / Bay Street,CA,Southern California,Los Angeles,"Bay Street, Santa Monica, CA",,Peaky beachbreak; wind sensitive.,,,"Bay Street surf, Santa Monica, CA"
e2151700,Venice Breakwater,CA,Southern California,Los Angeles,"Venice Breakwater, Venice, CA",,Peaky beachbreak; can be punchy.,,,"Venice Breakwater surf, Venice, CA"
3addf417,El Porto,CA,Southern California,Los Angeles,"El Porto, Manhattan Beach, CA",,Reliable beachbreak; peaks; can barrel.,,,"El Porto surf, Manhattan Beach, CA"
24e3eef9,Manhattan Beach Pier,CA,Southern California,Los Angeles,"Manhattan Beach Pier, Manhattan Beach, CA",,Peaky; bigger days can be heavy.,,,"Manhattan Beach Pier surf, Manhattan Beach, CA"
8ae99b0c,Hermosa Beach Pier,CA,Southern California,Los Angeles,"Hermosa Beach Pier, Hermosa Beach, CA",,Fun peaks; varies with sandbars.,,,"Hermosa Beach Pier surf, Hermosa Beach, CA"
5edc7f74,Redondo Beach,CA,Southern California,Los Angeles,"Redondo Beach, Redondo Beach, CA",,Wind/tide sensitive beachbreak.,,,"Redondo Beach surf, Redondo Beach, CA"
a0281542,Palos Verdes (Lunada Bay),CA,Southern California,Los Angeles,"Lunada Bay, Palos Verdes Estates, CA",,Reef; advanced; access etiquette.,,,"Lunada Bay surf, Palos Verdes Estates, CA"
cf80b03e,PV Cove,CA,Southern California,Los Angeles,"PV Cove, Palos Verdes, CA",,Reef; good on swell; rocks.,,,"PV Cove surf, Palos Verdes, CA"
694e18a0,Santa Monica Canyon,CA,Southern California,Los Angeles,"Santa Monica Canyon, Santa Monica, CA",,Beachbreak; local conditions.,,,"Santa Monica Canyon surf, Santa Monica, CA"
9a37e3df,Bolsa Chica,CA,Southern California,Orange,"Bolsa Chica State Beach, Huntington Beach, CA",,Sandbar beachbreak; consistent.,,,"Bolsa Chica State Beach surf, Huntington Beach, CA"
f6da1d4c,Huntington Beach Pier,CA,Southern California,Orange,"Huntington Beach Pier, Huntington Beach, CA",,Iconic peaks; handles size; crowds.,,,"Huntington Beach Pier surf, Huntington Beach, CA"
07de1799,HB Northside,CA,Southern California,Orange,"Northside Huntington Beach, Huntington Beach, CA",,Peaky; less crowded than pier.,,,"Northside Huntington Beach surf, Huntington Beach, CA"
e4065c34,Newport Beach Pier,CA,Southern California,Orange,"Newport Beach Pier, Newport Beach, CA",,Punchy beachbreak; can barrel.,,,"Newport Beach Pier surf, Newport Beach, CA"
b1e34142,56th Street Newport,CA,Southern California,Orange,"56th Street Newport Beach, Newport Beach, CA",,Hollow peaks; tide sensitive.,,,"56th Street Newport Beach surf, Newport Beach, CA"
eccaef0d,54th Street Newport,CA,Southern California,Orange,"54th Street Newport Beach, Newport Beach, CA",,Fast sandbar; can be heavy.,,,"54th Street Newport Beach surf, Newport Beach, CA"
d9a5895b,Corona del Mar (Big Corona),CA,Southern California,Orange,"Corona del Mar State Beach, Newport Beach, CA",,Beachbreak; can get big closeouts.,,,"Corona del Mar State Beach surf, Newport Beach, CA"
55245980,The Wedge,CA,Southern California,Orange,"The Wedge, Newport Beach, CA",,Very heavy shorebreak; experts only.,,,"The Wedge surf, Newport Beach, CA"
d56711fb,Rockpile (Newport),CA,Southern California,Orange,"Newport Rockpile, Newport Beach, CA",,Sandbar peaks; quality on swell.,,,"Newport Rockpile surf, Newport Beach, CA"
84c37b08,Doheny State Beach,CA,Southern California,Orange,"Doheny State Beach, Dana Point, CA",,Beginner/longboard; mellow inside.,,,"Doheny State Beach surf, Dana Point, CA"
e97fecb8,Doheny Rivermouth,CA,Southern California,Orange,"Doheny Rivermouth, Dana Point, CA",,Peaky; can get punchy.,,,"Doheny Rivermouth surf, Dana Point, CA"
c6d1b89b,Salt Creek,CA,Southern California,Orange,"Salt Creek Beach, Dana Point, CA",,Reliable peaks; can be powerful.,,,"Salt Creek Beach surf, Dana Point, CA"
93680fa3,Strands,CA,Southern California,Orange,"Strands Beach, Dana Point, CA",,Beachbreak/reef edges; good all around.,,,"Strands Beach surf, Dana Point, CA"
2b9ec514,Dana Point Harbor,CA,Southern California,Orange,"Dana Point Harbor, Dana Point, CA",,Wind/tide sensitive; check access.,,,"Dana Point Harbor surf, Dana Point, CA"
87ba166b,San Clemente Pier,CA,Southern California,Orange,"San Clemente Pier, San Clemente, CA",,Fun beachbreak; good on S swell.,,,"San Clemente Pier surf, San Clemente, CA"
f7f73fd3,T-Street,CA,Southern California,Orange,"T-Street Beach, San Clemente, CA",,Peaky; can be hollow.,,,"T-Street Beach surf, San Clemente, CA"
39bc8c92,204s (San Clemente),CA,Southern California,Orange,"204s, San Clemente, CA",,Reef/sand; advanced sections.,,,"204s surf, San Clemente, CA"
1f6aba2b,Cottons Point,CA,Southern California,Orange,"Cottons, San Clemente, CA",,Right reef; best on S swell; crowds.,,,"Cottons surf, San Clemente, CA"
c6b5f52f,Uppers (Trestles),CA,Southern California,Orange,"Upper Trestles, San Clemente, CA",,High-performance peaks; consistent.,,,"Upper Trestles surf, San Clemente, CA"
3c6229c9,Middles (Trestles),CA,Southern California,Orange,"Middle Trestles, San Clemente, CA",,A-frame peaks; very popular.,,,"Middle Trestles surf, San Clemente, CA"
7a04f7b3,Lowers (Trestles),CA,Southern California,Orange,"Lower Trestles, San Clemente, CA",,World-class; high-performance; crowds.,,,"Lower Trestles surf, San Clemente, CA"
1e84978b,Church (San Onofre),CA,Southern California,Orange,"Church, San Clemente, CA",,Reef/point; longboard friendly.,,,"Church surf, San Clemente, CA"
a4dc01a1,Old Man's (San Onofre),CA,Southern California,Orange,"San Onofre State Beach, San Clemente, CA",,Mellow longboard point; very popular.,,,"San Onofre State Beach surf, San Clemente, CA"
c8361355,Trails,CA,Southern California,Orange,"Trails San Onofre, San Clemente, CA",,More powerful than Old Man's; reef/sand.,,,"Trails San Onofre surf, San Clemente, CA"
20f6ef3f,San Mateo Point,CA,Southern California,Orange,"San Mateo Point, San Clemente, CA",,Reef; best on S swell; variable.,,,"San Mateo Point surf, San Clemente, CA"
4c07dfbd,Oceanside Harbor,CA,Southern California,San Diego,"Oceanside Harbor, Oceanside, CA",,Jetty waves; good on NW; crowds.,,,"Oceanside Harbor surf, Oceanside, CA"
86c3eede,Oceanside Pier,CA,Southern California,San Diego,"Oceanside Pier, Oceanside, CA",,Beachbreak peaks; can be good on S/NW.,,,"Oceanside Pier surf, Oceanside, CA"
6823fe04,Tamarack,CA,Southern California,San Diego,"Tamarack Beach, Carlsbad, CA",,Peaky beachbreak; sandbars.,,,"Tamarack Beach surf, Carlsbad, CA"
8e6b5e08,Terra Mar,CA,Southern California,San Diego,"Terra Mar Point, Carlsbad, CA",,Reef/point; better on S swell.,,,"Terra Mar Point surf, Carlsbad, CA"
5243aacd,Ponto,CA,Southern California,San Diego,"Ponto Beach, Carlsbad, CA",,Beachbreak; wind sensitive.,,,"Ponto Beach surf, Carlsbad, CA"
3c5c98f0,Beacons,CA,Southern California,San Diego,"Beacons Beach, Encinitas, CA",,Peaky; consistent on swell.,,,"Beacons Beach surf, Encinitas, CA"
665aa6f9,Grandview,CA,Southern California,San Diego,"Grandview Beach, Encinitas, CA",,Beachbreak/reef; can be punchy.,,,"Grandview Beach surf, Encinitas, CA"
add019de,Swami's,CA,Southern California,San Diego,"Swamis, Encinitas, CA",,Classic reef point; best on W/NW.,,,"Swamis surf, Encinitas, CA"
b868f676,D Street (Encinitas),CA,Southern California,San Diego,"D Street beach, Encinitas, CA",,Peaky beachbreak.,,,"D Street beach surf, Encinitas, CA"
a104ee6e,Cardiff Reef,CA,Southern California,San Diego,"Cardiff Reef, Cardiff-by-the-Sea, CA",,Reef; long right; tide sensitive.,,,"Cardiff Reef surf, Cardiff-by-the-Sea, CA"
575cb5ba,Seaside Reef,CA,Southern California,San Diego,"Seaside Reef, Solana Beach, CA",,Reef; can be hollow; local.,,,"Seaside Reef surf, Solana Beach, CA"
5cc25142,Del Mar,CA,Southern California,San Diego,"Del Mar Beach, Del Mar, CA",,Sandbars; fun on S swell.,,,"Del Mar Beach surf, Del Mar, CA"
734761d2,Scripps Pier,CA,Southern California,San Diego,"Scripps Pier, San Diego, CA",,Consistent beachbreak; peaks.,,,"Scripps Pier surf, San Diego, CA"
218f45ef,Blacks Beach,CA,Southern California,San Diego,"Black's Beach, San Diego, CA",,Powerful; can be big; strong currents.,,,"Black's Beach surf, San Diego, CA"
e0b3a12b,La Jolla Shores,CA,Southern California,San Diego,"La Jolla Shores, San Diego, CA",,Beginner-friendly; can be mushy.,,,"La Jolla Shores surf, San Diego, CA"
4a222e81,Windansea,CA,Southern California,San Diego,"Windansea Beach, La Jolla, CA",,Reef; advanced; local etiquette.,,,"Windansea Beach surf, La Jolla, CA"
76842681,PB Point,CA,Southern California,San Diego,"Pacific Beach Point, San Diego, CA",,Reef/point; good on S swell.,,,"Pacific Beach Point surf, San Diego, CA"
75a96b1d,Tourmaline,CA,Southern California,San Diego,"Tourmaline Park, San Diego, CA",,Longboard mellow; beginner-friendly.,,,"Tourmaline Surfing Park, San Diego, CA"
1cfd6bda,Sunset Cliffs,CA,Southern California,San Diego,"Sunset Cliffs, San Diego, CA",,Reef; multiple breaks; advanced sections.,,,"Sunset Cliffs surf, San Diego, CA"
8890e3fd,Ocean Beach Pier,CA,Southern California,San Diego,"Ocean Beach Pier, San Diego, CA",,Peaky; can be heavy on winter swell.,,,"Ocean Beach Pier surf, San Diego, CA"
be35c09f,Imperial Beach Pier,CA,Southern California,San Diego,"Imperial Beach Pier, Imperial Beach, CA",,Beachbreak; wind sensitive.,,,"Imperial Beach Pier surf, Imperial Beach, CA"
295e09c0,Coronado (North Beach),CA,Southern California,San Diego,"Coronado Beach, Coronado, CA",,Peaky sandbars; variable.,,,"Coronado Beach surf, Coronado, CA"
0f1b972b,Steamer Lane,CA,West Coast,,"Steamer Lane, Santa Cruz, CA",,World-class point/reef; best on NW swell.,,,"Steamer Lane surf, Santa Cruz, CA"
6f2f9c4e,Pleasure Point,CA,West Coast,,"Pleasure Point, Santa Cruz, CA",,Reef; crowded; great on S and W swells.,,,"Pleasure Point surf, Santa Cruz, CA"
f77c0de9,The Hook,CA,West Coast,,"The Hook, Santa Cruz, CA",,Reef; good long right; locals.,,,"The Hook surf, Santa Cruz, CA"
fc869afb,Cowell's,CA,West Coast,,"Cowells, Santa Cruz, CA",,Beginner/longboard; very mellow.,,,"Cowells surf, Santa Cruz, CA"
c1ac0b15,Manresa State Beach,CA,West Coast,,"Manresa State Beach, Watsonville, CA",,Beachbreak; consistent; handles size.,,,"Manresa State Beach surf, Watsonville, CA"
3f61baf3,Moss Landing,CA,West Coast,,"Moss Landing, Moss Landing, CA",,"Sandbar/river mouth; can be good, shifting.",,,"Moss Landing surf, Moss Landing, CA"
6a0907c4,Mavericks,CA,West Coast,,"Mavericks spot, Half Moon Bay, CA",,Big wave; experts only.,,,"Mavericks surf spot, Half Moon Bay, CA"
6966094f,Ocean Beach (San Francisco),CA,West Coast,,"Ocean Beach, San Francisco, CA",,Heavy beachbreak; strong currents.,,,"Ocean Beach surf, San Francisco, CA"
0cd62273,Linda Mar (Pacifica),CA,West Coast,,"Linda Mar State Beach, Pacifica, CA",,Most consistent near SF; beginner friendly.,,,"Linda Mar State Beach surf, Pacifica, CA"
f800c63f,Montara,CA,West Coast,,"Montara State Beach, Montara, CA",,Powerful beachbreak; handles swell.,,,"Montara State Beach surf, Montara, CA"
d6fbe884,Bolinas,CA,West Coast,,"Bolinas, Bolinas, CA",,Mellow; wind sensitive.,,,"Bolinas surf, Bolinas, CA"
00ce02c0,Stinson Beach,CA,West Coast,,"Stinson Beach, Stinson Beach, CA",,Beachbreak; can be fun on W swell.,,,"Stinson Beach surf, Stinson Beach, CA"
b27f93bc,Dillon Beach,CA,West Coast,,"Dillon Beach, Dillon Beach, CA",,Peaky beachbreak; can be windy.,,,"Dillon Beach surf, Dillon Beach, CA"
04c48f7d,Santa Cruz Island (Arch Rock),CA,West Coast,,"Arch Rock, Santa Cruz Island, CA",,Remote; conditions vary; boat access.,,,"Arch Rock surf, Santa Cruz Island, CA"
8f570e0b,Morro Bay Harbor Entrance,CA,West Coast,,"Morro Bay, Morro Bay, CA",,Sandbars; can be good on W swell.,,,"Morro Bay surf, Morro Bay, CA"
1c8357ef,Pismo Beach,CA,West Coast,,"Pismo Beach, Pismo Beach, CA",,Beachbreak; variable with sand.,,,"Pismo Beach surf, Pismo Beach, CA"
c4e7c8f5,Cayucos Pier,CA,West Coast,,"Cayucos Pier, Cayucos, CA",,Fun beachbreak; handles swell.,,,"Cayucos Pier surf, Cayucos, CA"
63b2e06b,Short Sand / Oswald West,OR,Pacific Northwest,,"Short Sand Beach, Oswald West State Park, OR",,Reliable; heavy currents; wetsuit.,,,"Short Sand Beach surf, Oswald West State Park, OR"
192f0ac1,Cannon Beach,OR,Pacific Northwest,,"Cannon Beach, Cannon Beach, OR",,Beachbreak; can be powerful.,,,"Cannon Beach surf, Cannon Beach, OR"
d8807238,Seaside Point,OR,Pacific Northwest,,"Seaside Point, Seaside, OR",,Jetty/point; best on NW.,,,"Seaside Point surf, Seaside, OR"
aa426d03,Nelscott Reef,OR,Pacific Northwest,,"Nelscott Reef, Lincoln City, OR",,Big wave; experts only.,,,"Nelscott Reef surf, Lincoln City, OR"
60f340b0,Otter Rock,OR,Pacific Northwest,,"Otter Rock, Otter Rock, OR",,Beginner-friendly in protected cove.,,,"Otter Rock surf, Otter Rock, OR"
90e1c46f,Pacific City / Cape Kiwanda,OR,Pacific Northwest,,"Cape Kiwanda, Pacific City, OR",,Sandbars; can be good on swell.,,,"Cape Kiwanda surf, Pacific City, OR"
36854cf0,Westport (The Groins),WA,Pacific Northwest,,"Westport, Westport, WA",,Best-known WA surf area; jetties.,,,"Westport surf, Westport, WA"
02c4d1c5,La Push (First Beach),WA,Pacific Northwest,,"First Beach, La Push, WA",,Remote; can be good; check swell/wind.,,,"First Beach surf, La Push, WA"
11f841c6,Ocean Shores,WA,Pacific Northwest,,"Ocean Shores, Ocean Shores, WA",,Beachbreak; wind sensitive.,,,"Ocean Shores surf, Ocean Shores, WA"
d4d9c2db,Yakutat (Cannon Beach),AK,Alaska,,"Yakutat Cannon Beach, Yakutat, AK",,Cold-water surf; remote logistics.,,,"Yakutat Cannon Beach surf, Yakutat, AK"
43769002,Pipeline,HI,Hawaii,,"Banzai Pipeline, Ehukai Beach Park, Oahu, HI",,Heavy reef; experts only.,,,"Banzai Pipeline surf, Ehukai Beach Park, Oahu, HI"
25f362eb,Backdoor,HI,Hawaii,,"Backdoor Pipeline, Oahu, HI",,Heavy barreling reef.,,,"Backdoor Pipeline surf, Oahu, HI"
fb05c59d,Sunset Beach,HI,Hawaii,,"Sunset Beach, Oahu, HI",,Powerful; big winter swell.,,,"Sunset Beach surf, Oahu, HI"
062f138d,Waimea Bay,HI,Hawaii,,"Waimea Bay, Oahu, HI",,Big wave; winter only; experts.,,,"Waimea Bay surf, Oahu, HI"
aff05035,Haleiwa Alii Beach,HI,Hawaii,,"Alii Beach, Haleiwa, HI",,Fun peaks; handles size.,,,"Alii Beach surf, Haleiwa, HI"
74262da4,Rocky Point,HI,Hawaii,,"Rocky Point, Oahu, HI",,Hollow reef; advanced.,,,"Rocky Point surf, Oahu, HI"
952e320d,Ala Moana Bowls,HI,Hawaii,,"Ala Moana Bowls, Honolulu, HI",,Fast reef; advanced.,,,"Ala Moana Bowls surf, Honolulu, HI"
f681d332,Queens,HI,Hawaii,,"Queens spot, Waikiki, Honolulu, HI",,Beginner/longboard.,,,"Queens surf spot, Waikiki, Honolulu, HI"
cc5d22fe,Canoes,HI,Hawaii,,"Canoes spot, Waikiki, Honolulu, HI",,Beginner friendly; crowded.,,,"Canoes surf spot, Waikiki, Honolulu, HI"
348b340c,Diamond Head,HI,Hawaii,,"Diamond Head, Honolulu, HI",,Longboard to shortboard depending swell.,,,"Diamond Head surf, Honolulu, HI"
1a4542ce,Makaha,HI,Hawaii,,"Makaha, Waianae, Oahu, HI",,Powerful; best on W swells.,,,"Makaha surf, Waianae, Oahu, HI"
96ed22ff,Sandy Beach,HI,Hawaii,,"Sandy Beach, Oahu, HI",,Dangerous shorebreak; bodyboarding heavy.,,,"Sandy Beach surf, Oahu, HI"
0ed2f998,Honolua Bay,HI,Hawaii,,"Honolua Bay, Maui, HI",,World-class; best in winter; reef/point.,,,"Honolua Bay surf, Maui, HI"
61305b1c,Jaws (Peahi),HI,Hawaii,,"Peahi Jaws, Maui, HI",,Big wave; tow/experts.,,,"Peahi Jaws surf, Maui, HI"
8d0f7317,Ho'okipa,HI,Hawaii,,"Ho'okipa Beach, Paia, Maui, HI",,Windy; powerful; experts.,,,"Ho'okipa Beach surf, Paia, Maui, HI"
0aaa2d58,Kaanapali,HI,Hawaii,,"Kaanapali, Lahaina, Maui, HI",,Mellow reef breaks.,,,"Kaanapali surf, Lahaina, Maui, HI"
d384cfe0,Hapuna Beach,HI,Hawaii,,"Hapuna Beach, Big Island, HI",,Beachbreak; seasonal.,,,"Hapuna Beach surf, Big Island, HI"
d80158d7,Pine Trees,HI,Hawaii,,"Pine Trees, Kailua-Kona, HI",,Reef; fun right; locals.,,,"Pine Trees surf, Kailua-Kona, HI"
76621023,Poipu,HI,Hawaii,,"Poipu, Koloa, Kauai, HI",,Beginner to intermediate depending.,,,"Poipu surf, Koloa, Kauai, HI"
a8c05479,Hanalei Bay,HI,Hawaii,,"Hanalei Bay, Hanalei, Kauai, HI",,Variety; winter surf.,,,"Hanalei Bay surf, Hanalei, Kauai, HI"
d6791950,Surfside Jetty Park,TX,Gulf Coast,,"Surfside Beach Jetty Park, Surfside Beach, TX",,Best TX surf near jetties.,,,"Surfside Beach Jetty Park surf, Surfside Beach, TX"
66379118,Galveston (Stewart Beach),TX,Gulf Coast,,"Stewart Beach, Galveston, TX",,Wind dependent; small surf.,,,"Stewart Beach surf, Galveston, TX"
4ef7d180,Port Aransas,TX,Gulf Coast,,"Port Aransas, Port Aransas, TX",,Best with tropical swell; jetties help.,,,"Port Aransas surf, Port Aransas, TX"
6da251ae,South Padre Island,TX,Gulf Coast,,"South Padre Island, South Padre Island, TX",,Best in fall/winter fronts or tropical.,,,"South Padre Island surf, South Padre Island, TX"
6be308d8,Grand Isle,LA/AL/MS,Gulf Coast,,"Grand Isle, Grand Isle, LA",,Rare; best with tropical systems.,,,"Grand Isle surf, Grand Isle, LA"
a0bee51f,Dauphin Island,LA/AL/MS,Gulf Coast,,"Dauphin Island, Dauphin Island, AL",,Small; best with storms.,,,"Dauphin Island surf, Dauphin Island, AL"
116aa9c2,Gulfport,LA/AL/MS,Gulf Coast,,"Gulfport, Gulfport, MS",,Occasional; storm-driven.,,,"Gulfport surf, Gulfport, MS"
901c310c,Jacksonville Beach Pier,FL,Florida,,"Jacksonville Beach Pier, Jacksonville Beach, FL",,Consistent East Coast beachbreak.,,,"Jacksonville Beach Pier surf, Jacksonville Beach, FL"
cabcc120,St. Augustine Pier,FL,Florida,,"St Augustine Pier, St Augustine, FL",,Good sandbars; crowds.,,,"St Augustine Pier surf, St Augustine, FL"
5dfaab11,Cocoa Beach Pier,FL,Florida,,"Cocoa Beach Pier, Cocoa Beach, FL",,Classic; small-to-medium surf.,,,"Cocoa Beach Pier surf, Cocoa Beach, FL"
3852c912,Sebastian Inlet,FL,Florida,,"Sebastian Inlet, Sebastian, FL",,Quality; long right/left; tide critical.,,,"Sebastian Inlet surf, Sebastian, FL"
4e021d72,Ft. Pierce Inlet,FL,Florida,,"Fort Pierce Inlet, Fort Pierce, FL",,Good on swell; tide/ wind.,,,"Fort Pierce Inlet surf, Fort Pierce, FL"
2c70c7eb,Reef Road,FL,Florida,,"Reef Road, Palm Beach, FL",,Powerful; can be heavy.,,,"Reef Road surf, Palm Beach, FL"
da2e8d7d,Juno Pier,FL,Florida,,"Juno Beach Pier, Juno Beach, FL",,Fun peaks; consistent.,,,"Juno Beach Pier surf, Juno Beach, FL"
3891a0d7,Pompano Beach,FL,Florida,,"Pompano Beach, Pompano Beach, FL",,Wind/tide dependent.,,,"Pompano Beach surf, Pompano Beach, FL"
0c12abd7,Haulover,FL,Florida,,"Haulover Beach, Miami, FL",,Best Miami-area option; limited.,,,"Haulover Beach surf, Miami, FL"
9f8057a0,South Beach,FL,Florida,,"South Beach, Miami Beach, FL",,Occasional; storm swell.,,,"South Beach surf, Miami Beach, FL"
e7bdf1c0,Flagler Beach Pier,FL,Florida,,"Flagler Beach Pier, Flagler Beach, FL",,Peaky; sandbars.,,,"Flagler Beach Pier surf, Flagler Beach, FL"
eea06e3b,New Smyrna Beach (Inlet),FL,Florida,,"New Smyrna Beach Inlet, New Smyrna Beach, FL",,Very consistent; watch sharks.,,,"New Smyrna Beach Inlet surf, New Smyrna Beach, FL"
c1e23a29,Pensacola Beach,FL,Florida,,"Pensacola Beach, Pensacola, FL",,Gulf; best with storms/fronts.,,,"Pensacola Beach surf, Pensacola, FL"
db131e20,Panama City Beach,FL,Florida,,"Panama City Beach, Panama City Beach, FL",,Gulf; variable.,,,"Panama City Beach surf, Panama City Beach, FL"
4a53e4c8,Tybee Island,Various (East),East Coast,,"Tybee Island, Tybee Island, GA",,Small; best with storms.,,,"Tybee Island surf, Tybee Island, GA"
5ab90c30,Folly Beach Pier,Various (East),East Coast,,"Folly Beach Pier, Folly Beach, SC",,SC classic; consistent.,,,"Folly Beach Pier surf, Folly Beach, SC"
ab91d654,Isle of Palms,Various (East),East Coast,,"Isle of Palms, Isle of Palms, SC",,Peaky sandbars.,,,"Isle of Palms surf, Isle of Palms, SC"
ef5def68,Wrightsville Beach,Various (East),East Coast,,"Wrightsville Beach, Wrightsville Beach, NC",,Consistent beachbreak.,,,"Wrightsville Beach surf, Wrightsville Beach, NC"
ec1d7656,Carolina Beach,Various (East),East Coast,,"Carolina Beach, Carolina Beach, NC",,Peaky; good sandbars.,,,"Carolina Beach surf, Carolina Beach, NC"
724f0bb4,Outer Banks (Cape Hatteras),Various (East),East Coast,,"Cape Hatteras, Buxton, NC",,World-class; shifting sandbars.,,,"Cape Hatteras surf, Buxton, NC"
57ecd65f,Outer Banks (Nags Head),Various (East),East Coast,,"Nags Head, Nags Head, NC",,Consistent; many peaks.,,,"Nags Head surf, Nags Head, NC"
ee581d72,Outer Banks (Rodanthe),Various (East),East Coast,,"Rodanthe, Rodanthe, NC",,Peaky; great on swell.,,,"Rodanthe surf, Rodanthe, NC"
27d1756b,Virginia Beach,Various (East),East Coast,,"Virginia Beach, Virginia Beach, VA",,Best VA option; wind sensitive.,,,"Virginia Beach surf, Virginia Beach, VA"
3d8dbfe6,Ocean City Inlet,Various (East),East Coast,,"Ocean City Inlet, Ocean City, MD",,Quality when swell hits.,,,"Ocean City Inlet surf, Ocean City, MD"
31b2e45e,Rehoboth / Dewey,Various (East),East Coast,,"Dewey Beach, Dewey Beach, DE",,Small; best with storms.,,,"Dewey Beach surf, Dewey Beach, DE"
72c02afa,Atlantic City,Various (East),East Coast,,"Atlantic City, Atlantic City, NJ",,Peaky; sandbars.,,,"Atlantic City surf, Atlantic City, NJ"
